ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 1, Name: Constructor, Quantity: 9, Weight: 30.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 1, Name: Constructor, Quantity: 9, Weight: 30.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 1, Name: Constructor, Quantity: 9, Weight: 30.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 2, Name: Doll, Quantity: 14, Weight: 50.0%
ID: 1, Name: Constructor, Quantity: 9, Weight: 30.0%
ID: 2, Name: Doll, Quantity: 13, Weight: 50.0%
ID: 3, Name: Car, Quantity: 19, Weight: 40.0%
ID: 3, Name: Car, Quantity: 18, Weight: 40.0%
ID: 3, Name: Car, Quantity: 17, Weight: 40.0%
